M_BH,M_sph,R_e,sSFR
8.268119,10.922545,0.3997569,-10.013092
8.215934,11.036609,0.28773606,-9.9199505
8.591003,10.9523735,0.512802,-10.18457
8.9099455,11.232324,0.65023506,-9.90718
9.118342,11.062941,0.69806445,-9.913433
8.230461,10.704125,0.3982509,-9.831628
8.657378,10.710629,0.63038754,-10.048253
7.508904,9.956579,0.24623081,-10.540218
10.171027,12.206133,0.7385901,-9.911261
8.369717,10.558225,0.46980476,-9.828804
9.069045,11.288202,0.72385126,-9.458287
8.055968,10.602512,0.45978236,-9.838726
9.149641,11.253686,0.49956626,-9.852837
7.895004,10.515477,0.26435322,-9.919752
8.3850565,10.484029,0.2780614,-9.828821
9.245565,11.237799,0.46236444,-9.495761
8.060409,10.86568,0.21669705,-9.969619
8.350616,10.832727,-0.041606855,-9.992656
8.284293,10.949896,0.40436152,-9.906008
9.68185,11.463492,0.65474856,-9.6807
8.175356,10.745241,0.45204735,-9.916121
9.458336,11.524676,1.0449828,-9.969628
9.289361,11.328201,0.7878128,-10.006228
7.7278147,10.115894,0.7273318,-10.131639
8.517685,10.949418,0.4737066,-9.850014
8.861209,11.279869,0.64873564,-9.925894
8.492234,11.185354,0.33328566,-10.005846
8.2046175,10.954174,-0.057145607,-9.961043
8.166769,11.284906,0.15978523,-9.949668
8.620099,10.982067,0.44709188,-9.962807
7.8728895,10.253311,0.35753784,-10.833571
9.652204,11.654993,0.62974983,-9.834866
7.969212,10.625054,0.28888193,-9.8298645
8.562716,10.979387,0.565768,-9.808403
7.9344997,10.6258,0.32960472,-9.842994
8.321185,10.998681,0.16905977,-9.898195
8.473905,10.835412,0.4644494,-10.184867
9.199545,11.516379,0.50758123,-9.940797
8.841013,11.233975,0.41605958,-9.918436
8.745573,11.2411375,0.36577255,-9.946757
9.22734,11.596977,0.44619083,-9.769888
9.015724,11.320556,0.9919294,-9.958504
8.737019,10.728699,0.6885768,-9.864048
8.686264,10.965578,0.50377274,-9.959111
9.586634,11.76763,0.63486665,-9.776718
8.687955,10.875204,0.42113715,-9.790072
9.418159,11.511896,0.59004307,-9.975096
8.776724,10.928829,0.45449004,-9.9636965
8.204549,10.607516,0.2977816,-9.837168
9.259657,11.408314,0.7869441,-10.204228
9.562835,11.91522,0.75989497,-9.706301
7.943495,10.946396,0.4099998,-9.834375
8.8203,10.988456,0.30997095,-9.899273
8.080729,10.478605,0.43346876,-9.940681
8.01364,10.358317,0.21522059,-9.832893
9.282253,11.5034,0.7350608,-9.985832
8.27794,11.0033245,0.27385592,-9.922691
8.423206,10.9880295,-0.027132986,-9.907147
8.526869,10.855361,0.23585169,-10.166743
8.100555,11.073227,0.24460687,-9.929485
8.191,10.81353,0.26366636,-9.9567375
8.602783,10.820658,0.2505324,-9.874014
8.359305,11.101574,0.15080488,-9.656307
8.535132,10.58411,0.4871021,-9.797418
8.719875,11.21654,0.39205983,-9.98224
9.000214,11.1730995,0.59775454,-9.96784
7.4388638,10.796732,0.39300883,-9.884193
8.517006,10.959459,0.31623742,-9.933398
8.923014,11.134834,0.84856164,-9.88814
9.05402,11.283245,0.5422278,-10.050987
8.305563,11.10847,0.31267345,-9.812004
8.519808,10.853827,0.50477266,-9.865572
8.229659,10.783013,0.7484437,-10.187017
8.88306,11.0819235,0.42687547,-10.008844
8.459213,10.783351,0.3601709,-9.915014
8.724902,11.081109,0.9989625,-9.909614
7.9170403,10.291057,0.32379615,-9.904709
8.890491,11.163425,0.79130244,-9.950904
8.196445,10.548535,0.395571,-9.812074
9.0642,11.536211,0.54313713,-9.874515
9.243458,11.268575,0.56868416,-9.968555
8.977556,11.155657,0.4153054,-9.978338
8.507348,10.898802,0.5494433,-9.962847
8.679327,11.116326,0.5775742,-10.021125
8.128427,10.515618,0.3882059,-9.795479
8.593718,10.799582,0.18172477,-9.873287
8.373384,11.138951,0.32524064,-10.022312
8.284582,10.785291,0.40447658,-9.927966
8.564696,10.927513,0.14619564,-9.945939
7.883487,10.064404,0.57098806,-9.951133
8.357803,11.203174,-0.10152186,-10.00329
8.01993,10.712356,0.36803496,-9.834501
8.794154,11.173699,0.5334215,-9.925358
9.535919,11.990846,0.71014625,-9.612653
7.9625616,10.253718,0.548775,-10.506908
8.712268,11.072934,0.45208633,-9.96327
8.4042845,11.069724,-0.024609862,-9.918993
8.288992,11.107465,0.15297107,-9.979955
8.278035,10.5562105,0.16959034,-9.796918
8.007417,10.925556,0.3752,-9.900735
8.732776,11.0977335,0.56968546,-10.569654
9.877643,11.775301,0.75917184,-9.833962
7.7709994,10.498731,0.27347767,-10.440155
8.347387,11.042294,0.43337566,-9.894016
8.573048,10.873115,0.5905404,-10.347749
8.907785,11.188507,0.9313731,-9.765685
8.488698,10.905693,-0.07869592,-9.860205
7.972026,10.107029,0.061776813,-9.708732
9.425702,11.592596,0.66269445,-9.765751
9.133246,11.52203,0.49798074,-9.6504755
8.669619,10.989846,0.53214765,-9.837538
