M_BH,M_sph,R_e,sSFR
8.430747,10.973975,0.95543444,-15.6644
8.157208,10.710983,0.6617136,-14.413097
8.429054,10.772656,0.9609658,-11.999743
8.3122015,11.033363,0.5835296,-13.174318
8.487901,11.059025,0.9112751,-12.352993
8.727182,11.172579,0.8775579,-13.018364
8.894092,11.329993,0.95126796,-13.552576
8.804054,11.024188,1.1572984,-11.684996
8.236318,10.491841,0.8144519,-12.732194
8.449649,11.155486,0.8379276,-13.209224
8.390581,10.759735,0.7667214,-12.601992
8.821733,11.089691,0.8955169,-12.427841
8.79367,11.365661,0.929246,-14.547385
8.886478,11.226574,0.98842347,-14.70879
8.517244,10.913039,0.85003483,-12.817665
9.669184,11.86248,1.3660219,-12.742591
8.150602,10.703615,0.7698613,-13.802325
8.592512,11.191223,0.8156529,-13.725243
6.6819654,10.529303,-0.11331827,-12.210398
8.695376,11.095109,0.90591115,-13.666052
8.84478,11.107324,0.7677093,-12.375343
9.168356,11.528193,1.0354027,-14.2687645
8.656157,11.06105,0.9355803,-12.2747345
8.948474,11.322748,0.79571646,-13.513826
8.393772,10.90159,0.7639465,-12.488818
8.501031,10.997459,0.7455113,-12.218582
8.584833,10.916567,0.8434431,-12.409216
8.6268425,10.990946,0.6716455,-14.161719
8.652427,11.055937,0.6102094,-12.89451
8.340758,10.69636,0.45446712,-16.46511
8.743512,11.067643,0.6581167,-12.93025
8.602805,10.991533,0.84022474,-11.667429
8.415735,10.693134,0.569371,-13.011118
8.544351,10.884206,0.7709745,-11.856216
8.395426,10.862137,0.567626,-13.934769
8.046222,10.23269,0.82204676,-12.277643
8.434031,11.00451,0.84734607,-12.4504
8.300566,10.889067,0.6787255,-11.653969
8.869168,10.9582815,0.7308873,-12.815748
8.5891485,11.105087,0.8053237,-12.4964075
8.23534,10.865364,0.67145294,-12.4350395
8.319568,10.751351,0.67493254,-14.404875
8.286961,11.068685,0.80810136,-14.195437
8.740399,11.142597,0.8636933,-11.8084
7.9598007,10.670693,0.6915154,-11.7992935
8.460547,11.005262,0.870942,-13.391218
8.773564,11.260182,0.85409063,-16.063307
8.572159,11.086892,0.8085991,-12.105881
8.130071,10.387307,0.93145776,-12.571826
8.434619,11.224424,0.7014215,-14.973265
8.35298,10.770391,0.797186,-12.469733
8.254536,10.927084,0.6483578,-13.12923
8.416402,10.799766,0.5356342,-13.334883
8.522555,10.700331,0.5540329,-13.420875
8.277363,10.568247,0.86927664,-11.3136635
8.236007,10.897499,0.6390758,-13.677604
8.517307,11.101233,0.9284637,-12.742248
8.504692,10.684959,0.7773111,-13.36543
8.605387,11.056284,0.8528065,-11.781142
8.605288,10.833828,0.7190242,-12.484253
9.35015,11.703087,1.0867928,-13.815474
9.070925,11.466012,0.9662227,-13.399391
8.842426,11.244017,0.8215989,-12.914946
9.014398,11.179704,0.9707668,-13.46674
8.320137,10.844713,0.878612,-11.519562
8.089969,10.537168,0.66061515,-11.840986
8.6217,11.150279,0.8793659,-13.041762
8.569443,11.1145315,0.8867477,-12.4748
8.245202,10.7583275,0.751593,-11.835316
9.389081,11.519753,1.0276496,-12.987225
8.884008,11.2460375,0.98176885,-14.770354
8.6699095,11.091402,0.9583248,-13.735349
8.240288,10.711501,0.7036404,-13.719644
8.595983,11.02095,0.7390976,-13.388638
8.273893,10.777222,0.83773065,-13.192674
8.177033,10.898839,0.50898373,-14.327803
8.443642,10.895523,0.8263708,-14.477135
9.338804,11.596977,1.0716472,-13.1182
8.784288,11.1853895,0.9668467,-12.078181
8.19995,10.6674,0.95665145,-13.11028
9.020564,11.427757,0.90189505,-12.3454
8.508856,11.105399,0.92448026,-15.395237
8.449907,10.992601,0.58776647,-14.018266
8.564194,10.934562,0.8335197,-12.955839
8.822042,11.004711,1.0422379,-13.688595
8.745464,11.208515,0.88853425,-14.076601
8.652905,11.171653,0.986541,-14.637335
8.624113,11.287617,0.8314774,-14.295
8.493924,11.126731,0.9218276,-14.706351
8.71411,10.996831,0.8825729,-11.717746
8.439881,10.936908,0.46984905,-12.432648
9.209554,11.432647,0.7515003,-12.497598
8.358241,11.035275,0.77641314,-13.474134
9.035068,11.43977,1.0059733,-12.876035
8.420228,10.792157,0.9343413,-11.632719
8.993437,11.221802,1.1284547,-12.074257
8.480528,10.828201,0.90170455,-14.153557
9.009779,11.290134,0.884505,-13.216979
8.682142,11.350607,0.8244973,-15.195852
8.2692995,10.761224,0.6699193,-12.018134
8.4498415,11.151263,0.82156426,-14.9178295
8.67377,11.104247,0.7137776,-15.061339
8.595396,10.597949,0.8789544,-13.249005
8.552552,11.159975,0.65550864,-12.498432
8.494612,11.1300335,0.78454036,-13.479255
8.731311,11.204413,0.8096844,-13.169674
8.326221,10.815752,0.56312996,-13.049155
8.663682,11.133093,0.80983657,-13.226748
8.389838,10.848903,0.80125177,-12.8544235
9.204802,11.554476,1.0514311,-14.05198
8.725561,11.104094,0.8498075,-15.693171
8.446923,10.916146,0.6508911,-12.9693365
8.838147,11.172191,0.90683174,-11.692299
8.159279,10.872479,0.45839643,-16.179234
9.145921,11.538908,1.014259,-13.749205
8.678615,11.212374,0.56950593,-12.919941
8.287621,10.970604,0.59620416,-14.134266
8.359262,10.880531,0.5691887,-12.190162
8.403621,11.1217985,0.8293041,-13.743396
8.339035,10.78932,0.9539819,-11.779893
8.362987,11.199862,0.82615834,-13.521379
8.570644,11.012282,0.969473,-12.067883
8.607405,11.106228,0.8290535,-13.532575
8.731612,11.095055,1.0809953,-12.696954
8.558063,10.924562,0.8345624,-15.316567
8.794847,11.166274,0.83231914,-12.221504
8.618249,10.991285,0.9511883,-15.0044
8.471602,10.98571,0.8612318,-13.135589
8.55653,11.026893,0.89133644,-12.789431
9.027166,11.50547,0.9984636,-14.400318
8.347387,10.566826,0.63350284,-12.759816
8.858816,11.501961,0.8851295,-12.182878
8.406501,11.020814,0.7878529,-15.01867
8.494342,10.901757,0.86436653,-12.100088
9.272678,11.526403,0.9661063,-12.882259
8.295044,10.888133,0.84177876,-12.043272
8.468128,10.827098,0.77072513,-11.563073
8.625315,11.107307,0.72565496,-14.005971
8.762957,10.950491,0.81174576,-13.19182
8.763898,11.3931265,0.93097425,-15.871845
8.864637,11.22403,0.8628237,-14.369991
8.64356,11.204888,0.68298864,-14.397055
8.651573,11.0908,0.90681714,-12.625349
8.334886,10.8461485,0.7969415,-17.291954
8.586994,11.139799,0.7500018,-13.785011
8.481572,10.827196,0.7775023,-12.6649
8.662613,11.101626,0.5356904,-13.354023
8.451357,10.957646,0.7347446,-11.865068
8.381479,11.037877,0.8605076,-16.008766
8.615772,10.911957,0.767894,-11.607395
8.676532,11.116489,0.8311682,-12.76755
8.663218,11.163086,0.8774576,-13.26199
8.686293,11.195122,0.7950194,-14.059802
8.686325,10.981983,0.89611804,-12.015777
8.15835,10.652505,0.87229145,-11.855703
8.818475,11.083123,0.926573,-14.2595005
8.122136,10.861983,0.61054695,-13.065123
9.140928,11.495793,0.88200414,-12.020672
7.9481196,10.423254,0.79458004,-13.857079
8.918859,11.257086,0.96944374,-14.864155
8.688866,11.114383,0.7940351,-14.140377
7.9653864,10.757336,0.70134383,-11.734016
8.318831,10.883647,0.85658383,-17.321548
8.273057,10.663183,0.8467375,-12.4346285
8.56061,10.949685,0.7977653,-16.156145
8.08106,10.53616,0.7046702,-13.399651
8.163134,10.896983,0.75535613,-12.096572
8.499778,11.179108,0.75413585,-13.449869
